"タイトル","公開日","URL","長さ","科目","対象","No"
"whatの使い方(1)","2018-04-14T03:13:59.000Z","https://www.youtube.com/watch?v=oljpCGp5y_w","00:14:26","英語","中学1年","6"
"sheとheの使い方","2018-04-16T07:39:25.000Z","https://www.youtube.com/watch?v=NNOO4v90Psw","00:15:06","英語","中学1年","7"
"曜日を覚えよう","2018-04-18T09:15:35.000Z","https://www.youtube.com/watch?v=N3yoJOTmtT8","00:11:50","英語","中学1年","8"
"教科と時間割","2018-04-21T06:27:10.000Z","https://www.youtube.com/watch?v=JCpzQyEcQes","00:10:45","英語","中学1年","9"
"時刻をたずねる(1)","2018-06-30T06:35:33.000Z","https://www.youtube.com/watch?v=32hXv0clBJc","00:13:35","英語","中学1年","10"
"確認テスト(2)(be動詞編)","2018-04-28T08:10:49.000Z","https://www.youtube.com/watch?v=OfnV28Nr9_A","00:14:04","英語","中学1年","11"
"一般動詞(1)(ル-ル編)","2018-05-28T06:34:34.000Z","https://www.youtube.com/watch?v=dWmSsKdURU0","00:11:16","英語","中学1年","12"
"一般動詞(2)(基本編)","2018-05-29T08:40:00.000Z","https://www.youtube.com/watch?v=DQCuYgSeRy8","00:14:40","英語","中学1年","13"
"一般動詞(3)(疑問と否定編)","2018-06-05T08:27:41.000Z","https://www.youtube.com/watch?v=AA4dxDFBcTo","00:14:42","英語","中学1年","14"
"一般動詞(4)(書きかえ編)","2018-06-06T06:24:13.000Z","https://www.youtube.com/watch?v=1OiyhHdnsb8","00:15:27","英語","中学1年","15"
"確認テスト(3)(2つの動詞編)","2018-06-10T07:27:18.000Z","https://www.youtube.com/watch?v=0-eKGGvaId8","00:13:51","英語","中学1年","16"
"単語テスト(1)(一般動詞編)","2018-06-18T08:46:03.000Z","https://www.youtube.com/watch?v=G-9baagCsOE","00:10:44","英語","中学1年","17"
"whatの使い方(2)(一般動詞とコラボ編)","2018-07-09T06:05:19.000Z","https://www.youtube.com/watch?v=uEGZ68pR0sM","00:18:59","英語","中学1年","18"
"頻度を表す単語","2018-07-11T06:52:26.000Z","https://www.youtube.com/watch?v=JQkAELkoVPk","00:12:45","英語","中学1年","19"
"whereの使い方(1)","2018-07-12T10:25:34.000Z","https://www.youtube.com/watch?v=lmKcoBQMpZ4","00:13:10","英語","中学1年","20"
"複数形のル-ル","2018-07-16T07:18:13.000Z","https://www.youtube.com/watch?v=NqUvMMp2y48","00:15:43","英語","中学1年","21"
"How manyの使い方","2018-07-24T06:51:20.000Z","https://www.youtube.com/watch?v=aZkKgCgUv1g","00:13:16","英語","中学1年","22"
"一般動詞(基本編)","2013-04-17T01:42:06.000Z","https://www.youtube.com/watch?v=iDFtdgcCbiE","00:16:58","英語","中学1年","3"
"一般動詞(疑問と否定編)","2013-04-17T01:42:06.000Z","https://www.youtube.com/watch?v=oStnjJuBwiA","00:12:15","英語","中学1年","4"
"三単現のs (1)(肯定文編)","2013-08-09T04:50:48.000Z","https://www.youtube.com/watch?v=f9pVSVqu0Ww","00:13:18","英語","中学1年","14"
"曜日と天気の言い方","2013-04-17T01:42:06.000Z","https://www.youtube.com/watch?v=_PajfPl77n4","00:12:18","英語","中学1年","5"
"what の使い方","2013-06-23T00:34:59.000Z","https://www.youtube.com/watch?v=aIhMDGzogIU","00:12:42","英語","中学1年","6"
"2つ以上のもの","2013-06-25T05:59:39.000Z","https://www.youtube.com/watch?v=odfgOpoPqhI","00:12:22","英語","中学1年","7"
"How many の使い方","2013-06-25T05:59:39.000Z","https://www.youtube.com/watch?v=YTkmflgXlYI","00:13:14","英語","中学1年","8"
"命令形","2013-07-18T05:29:28.000Z","https://www.youtube.com/watch?v=xZRfbhxikzw","00:09:31","英語","中学1年","9"
"これ,あれ,それ","2013-07-18T05:29:28.000Z","https://www.youtube.com/watch?v=RSz7jLbsD5k","00:11:55","英語","中学1年","10"
"where の使い方","2013-07-19T05:05:49.000Z","https://www.youtube.com/watch?v=Saoge649LsY","00:12:51","英語","中学1年","11"
"he・she の使い方","2013-07-19T05:05:49.000Z","https://www.youtube.com/watch?v=O9ZPx57zYzo","00:14:08","英語","中学1年","12"
"時刻の聞き方","2013-08-09T04:50:48.000Z","https://www.youtube.com/watch?v=_AoMz2o6XR0","00:11:37","英語","中学1年","13"
"三単現のs (2)(疑問と否定編)","2013-08-10T04:14:48.000Z","https://www.youtube.com/watch?v=3DTGMzVJ5Kw","00:12:37","英語","中学1年","15"
"三単現のs (3)(練習編)","2013-08-10T04:14:48.000Z","https://www.youtube.com/watch?v=JnfxBxzai4k","00:11:13","英語","中学1年","16"
"who の使い方","2013-10-04T05:18:46.000Z","https://www.youtube.com/watch?v=q0p38ZZ8siE","00:10:44","英語","中学1年","17"
"代名詞(1)(暗記編)","2013-10-04T05:18:46.000Z","https://www.youtube.com/watch?v=eY1-JWVoISQ","00:14:13","英語","中学1年","18"
"代名詞(2)(練習編)","2013-10-05T04:16:18.000Z","https://www.youtube.com/watch?v=S8-kCY8nAtA","00:11:03","英語","中学1年","19"
"when の使い方(1)","2013-10-05T04:16:18.000Z","https://www.youtube.com/watch?v=G1GqKmlQ1LQ","00:11:37","英語","中学1年","20"
"when への返事","2013-10-06T01:17:38.000Z","https://www.youtube.com/watch?v=nRPyLesoaQE","00:10:26","英語","中学1年","21"
"which と whose の使い方","2013-10-06T01:17:38.000Z","https://www.youtube.com/watch?v=a9vdFfR1vlg","00:09:33","英語","中学1年","22"
"can の使い方","2013-12-12T05:33:42.000Z","https://www.youtube.com/watch?v=c_k1YQn0B6k","00:10:37","英語","中学1年","23"
"how の使い方","2013-12-13T05:36:05.000Z","https://www.youtube.com/watch?v=oVYqr-mbFMo","00:11:35","英語","中学1年","24"
"下線部をたずねる疑問文","2013-12-14T04:56:17.000Z","https://www.youtube.com/watch?v=b5Xh6uw7bsY","00:13:23","英語","中学1年","25"
"依頼する・許可をもとめる","2013-12-15T01:36:42.000Z","https://www.youtube.com/watch?v=iOp_Qcf586E","00:08:16","英語","中学1年","26"
"現在進行形(1)(基本編)","2013-12-16T05:08:02Z","https://www.youtube.com/watch?v=wz5iypENBV8","00:12:19","英語","中学1年","27"
"現在進行形(2)(疑問編)","2013-12-16T05:08:09Z","https://www.youtube.com/watch?v=-iU9tMGpjs0","00:10:18","英語","中学1年","28"
"現在進行形(3)(疑問詞とのコラボ編)","2013-12-17T09:10:22Z","https://www.youtube.com/watch?v=A7ijquc6xRA","00:13:03","英語","中学1年","29"
"過去形(規則動詞)基本編","2013-12-17T09:15:39Z","https://www.youtube.com/watch?v=3t3GocRD-_I","00:15:49","英語","中学1年","30"
"過去形(規則動詞)疑問と否定編","2013-12-17T09:25:55Z","https://www.youtube.com/watch?v=QjttbuXx1xY","00:16:28","英語","中学1年","31"
"whyの使い方","2013-12-17T09:26:08Z","https://www.youtube.com/watch?v=YeCG-z9EcX4","00:15:39","英語","中学1年","32"
"買い物 ~服を買おう~","2013-12-17T09:26:15Z","https://www.youtube.com/watch?v=KCLlmFmj0Cg","00:11:32","英語","中学1年","33"
"過去形(不規則動詞)基本編","2013-12-17T09:26:34Z","https://www.youtube.com/watch?v=6qik2RyQI8Q","00:13:11","英語","中学1年","34"
"過去形(不規則動詞)疑問と否定編","2013-12-17T09:26:40Z","https://www.youtube.com/watch?v=9f0INSGnyfQ","00:15:03","英語","中学1年","35"
"be動詞の過去形","2013-04-24T00:59:43.000Z","https://www.youtube.com/watch?v=saEFTlUu3WA","00:13:09","英語","中学2年","1"
"過去進行形","2013-04-24T00:59:43.000Z","https://www.youtube.com/watch?v=XecF4-I5LYA","00:12:32","英語","中学2年","2"
"未来形(1)","2013-05-18T02:22:19.000Z","https://www.youtube.com/watch?v=fyblJGn6V48","00:11:12","英語","中学2年","3"
"未来形(2)","2013-05-18T02:22:19.000Z","https://www.youtube.com/watch?v=fRNEl703grw","00:13:52","英語","中学2年","4"
"~しなければならない(1)(肯定文編)","2013-06-21T02:51:57.000Z","https://www.youtube.com/watch?v=APiUhB0GCaU","00:12:07","英語","中学2年","5"
"~しなければならない(2)(疑問文と否定文編)","2013-06-21T02:51:57.000Z","https://www.youtube.com/watch?v=2eTFlfi88OY","00:09:30","英語","中学2年","6"
"think の使い方","2013-06-22T05:53:22.000Z","https://www.youtube.com/watch?v=2dPVy3OQCEY","00:12:08","英語","中学2年","7"
"should の使い方","2013-06-22T05:53:22.000Z","https://www.youtube.com/watch?v=tjdFvN8PqyM","00:10:33","英語","中学2年","8"
"~があります","2013-08-07T02:20:32.000Z","https://www.youtube.com/watch?v=OjsU0lUK0ks","00:12:44","英語","中学2年","9"
"when の使い方(2)","2013-08-08T02:07:19.000Z","https://www.youtube.com/watch?v=MSUITB671BY","00:14:30","英語","中学2年","10"
"if の使い方","2013-08-08T02:07:19.000Z","https://www.youtube.com/watch?v=HV4fIt8Qr54","00:14:18","英語","中学2年","11"
"不定詞(1)(名詞的用法編)","2013-09-18T02:22:30.000Z","https://www.youtube.com/watch?v=kf8l5heuQU8","00:11:36","英語","中学2年","12"
"不定詞(2)(副詞的用法編)","2013-09-18T02:22:30.000Z","https://www.youtube.com/watch?v=IH0FHjqXYGU","00:09:27","英語","中学2年","13"
"不定詞(3)(形容詞的用法編)","2013-09-19T04:14:25.000Z","https://www.youtube.com/watch?v=F7V_9ZscX3I","00:12:47","英語","中学2年","14"
"不定詞(4)(練習編)","2013-09-19T04:14:25.000Z","https://www.youtube.com/watch?v=5pYY2rv-Jh0","00:13:58","英語","中学2年","15"
"動名詞(1)(基本編)","2013-09-23T00:28:14.000Z","https://www.youtube.com/watch?v=Y1Ilj3VENuQ","00:13:58","英語","中学2年","16"
"動名詞(2)(不定詞との区別編)","2013-09-23T00:28:14.000Z","https://www.youtube.com/watch?v=RQfv8VUHr_E","00:12:27","英語","中学2年","17"
"look と become の使い方","2013-09-24T02:19:41.000Z","https://www.youtube.com/watch?v=LgQuPdamUSs","00:08:53","英語","中学2年","18"
"give の使い方(1)(基本編)","2013-09-25T01:53:17.000Z","https://www.youtube.com/watch?v=gYwSdK8m6HE","00:09:40","英語","中学2年","19"
"give の使い方(2)(書きかえ編)","2013-09-25T01:53:17.000Z","https://www.youtube.com/watch?v=IyjH9KVVHmU","00:10:37","英語","中学2年","20"
"比較級","2013-12-09T04:21:11.000Z","https://www.youtube.com/watch?v=Xg-FBd4pifU","00:11:03","英語","中学2年","21"
"最上級","2013-12-10T06:56:28.000Z","https://www.youtube.com/watch?v=FXuzUZGCYCc","00:13:23","英語","中学2年","22"
"as ～ as 文","2013-12-12T05:34:00.000Z","https://www.youtube.com/watch?v=inQQsxEi-G4","00:11:23","英語","中学2年","23"
"長い単語の比較級・最上級","2014-11-16T12:23:25.000Z","https://www.youtube.com/watch?v=2n2RlQG22P8","00:13:30","英語","中学2年","24"
"goodとwellの比較級・最上級","2014-11-16T12:23:25.000Z","https://www.youtube.com/watch?v=GIIqRBu3D4U","00:15:30","英語","中学2年","25"
"受動態(1)","2014-11-16T12:23:25.000Z","https://www.youtube.com/watch?v=7llXA--yfJo","00:14:55","英語","中学2年","26"
"受動態(2)","2014-11-16T12:23:25.000Z","https://www.youtube.com/watch?v=sWMmnTDcY7w","00:14:15","英語","中学2年","27"
"現在完了形(1)・完了編","2013-04-17T01:40:09.000Z","https://www.youtube.com/watch?v=yJUK8Y9oRaM","00:15:23","英語","中学3年","1"
"現在完了形(2)・継続編","2013-04-17T02:59:35.000Z","https://www.youtube.com/watch?v=5Fn5tG-jERU","00:13:41","英語","中学3年","2"
"現在完了形(3)・経験編","2013-04-20T23:14:03.000Z","https://www.youtube.com/watch?v=s3IPywtybMg","00:13:56","英語","中学3年","3"
"It's ～ for ～ to ～","2013-06-20T04:17:53.000Z","https://www.youtube.com/watch?v=5T53Tn9gEu8","00:09:19","英語","中学3年","4"
"疑問詞 ＋ to ～","2013-06-20T04:17:53.000Z","https://www.youtube.com/watch?v=0hT7Rf1was4","00:09:59","英語","中学3年","5"
"ask ～ to ～","2013-06-20T04:17:53.000Z","https://www.youtube.com/watch?v=PIBkDYgLVmo","00:13:17","英語","中学3年","6"
"call の使い方","2013-07-15T03:23:01.000Z","https://www.youtube.com/watch?v=CiNsNuN6KyY","00:09:48","英語","中学3年","7"
"make の使い方","2013-07-15T03:23:01.000Z","https://www.youtube.com/watch?v=13-fbKuQggs","00:10:21","英語","中学3年","8"
"文の最初に使わない疑問詞 (間接疑問文)","2013-09-03T04:32:05.000Z","https://www.youtube.com/watch?v=-9A8NJDy1tY","00:12:19","英語","中学3年","9"
"現在分詞","2013-09-03T04:32:05.000Z","https://www.youtube.com/watch?v=vNqpvl1hvZk","00:09:39","英語","中学3年","10"
"過去分詞","2013-09-03T04:32:05.000Z","https://www.youtube.com/watch?v=7vF-iHphdr8","00:09:28","英語","中学3年","11"
"関係代名詞(1)・主格(人)編","2013-09-30T01:49:00.000Z","https://www.youtube.com/watch?v=qIekETHu7-g","00:12:59","英語","中学3年","12"
"関係代名詞(2)・主格(もの)編","2013-10-01T04:57:49.000Z","https://www.youtube.com/watch?v=nkX2PAI5aIE","00:11:23","英語","中学3年","13"
"関係代名詞(3)・2文を1文にする編","2013-10-01T04:57:49.000Z","https://www.youtube.com/watch?v=EzrAVvdUuw0","00:11:59","英語","中学3年","14"
"関係代名詞(4)・目的格編","2013-10-02T02:57:06.000Z","https://www.youtube.com/watch?v=DSrW14WjWl4","00:09:44","英語","中学3年","15"
"関係代名詞(5)・再び2文を1文にする編","2013-10-02T02:57:06.000Z","https://www.youtube.com/watch?v=dSeAukEOew4","00:10:46","英語","中学3年","16"
"関係代名詞(6)・練習編","2013-10-03T01:27:05.000Z","https://www.youtube.com/watch?v=UHIPr9A3gdY","00:12:02","英語","中学3年","17"
"塩化銅水溶液の分解","2013-04-09T23:26:28.000Z","https://www.youtube.com/watch?v=mkB4VOqqH2g","00:12:00","理科","中学3年","1"
"イオンと原子のなり立ち","2013-04-09T23:26:28.000Z","https://www.youtube.com/watch?v=JeSIo53P9Mo","00:12:50","理科","中学3年","2"
"イオン式","2013-04-11T03:22:36.000Z","https://www.youtube.com/watch?v=WtgCiurSwoY","00:13:23","理科","中学3年","3"
"塩化銅水溶液の分解・イオンver.","2013-04-11T03:22:36.000Z","https://www.youtube.com/watch?v=W7jx1u9XlMY","00:12:11","理科","中学3年","4"
"電解質の水溶液の金属板","2013-04-25T03:42:31.000Z","https://www.youtube.com/watch?v=rrieLNJPE-s","00:07:46","理科","中学3年","5"
"電池の中で起こる変化","2013-04-25T03:42:31.000Z","https://www.youtube.com/watch?v=P3gUJhGaLaQ","00:08:59","理科","中学3年","6"
"身のまわりの電池","2013-04-25T22:55:38.000Z","https://www.youtube.com/watch?v=Xumch5cBdhQ","00:07:56","理科","中学3年","7"
"水溶液の酸性・アルカリ性","2013-04-25T22:55:38.000Z","https://www.youtube.com/watch?v=2qxqGOofJtA","00:08:38","理科","中学3年","8"
"イオンの移動(1)","2013-04-27T02:14:18.000Z","https://www.youtube.com/watch?v=p2H7tYKLLMA","00:10:55","理科","中学3年","9"
"イオンの移動(2)","2013-04-28T00:05:32.000Z","https://www.youtube.com/watch?v=jstB03w5JMQ","00:06:35","理科","中学3年","10"
"酸とアルカリの水溶液(1)","2013-04-29T03:20:08.000Z","https://www.youtube.com/watch?v=Nqab0dBr3ck","00:09:11","理科","中学3年","11"
"酸とアルカリの水溶液(2)","2013-04-29T03:20:08.000Z","https://www.youtube.com/watch?v=_V8ykALtJm4","00:07:17","理科","中学3年","12"
"身近な生物の観察","2013-03-26T12:58:43.000Z","https://www.youtube.com/watch?v=FOePKu_-YfI","00:07:38","理科","中学1年","1"
"水中の小さな生物の観察","2013-03-26T12:58:43.000Z","https://www.youtube.com/watch?v=WcBudGPdhik","00:09:34","理科","中学1年","2"
"顕微鏡の攻略法","2013-03-26T23:47:50.000Z","https://www.youtube.com/watch?v=UJLvkwA5RUQ","00:10:18","理科","中学1年","3"
"花のつくりとはたらき","2013-03-28T05:01:26.000Z","https://www.youtube.com/watch?v=c4GF_dE2CQE","00:09:21","理科","中学1年","4"
"マツの花と種子","2013-03-28T05:01:26.000Z","https://www.youtube.com/watch?v=8rVHNVcEWK4","00:10:07","理科","中学1年","5"
"葉のつくり","2013-03-30T09:57:10.000Z","https://www.youtube.com/watch?v=57tlatUrxVk","00:07:53","理科","中学1年","6"
"葉のはたらき(実験(1))","2013-03-30T09:57:10.000Z","https://www.youtube.com/watch?v=kkZCuVDTeHQ","00:09:10","理科","中学1年","7"
"葉のはたらき(実験(2)(3))","2013-04-01T01:40:55.000Z","https://www.youtube.com/watch?v=SG6rjVbXkAM","00:09:38","理科","中学1年","8"
"葉のはたらき(実験(4)(5))","2013-04-01T01:40:55.000Z","https://www.youtube.com/watch?v=HyOPCNVKXTk","00:10:08","理科","中学1年","9"
"光合成のまとめ","2013-04-02T03:20:25.000Z","https://www.youtube.com/watch?v=j4KNtBm15vU","00:06:58","理科","中学1年","10"
"植物の呼吸","2013-04-02T03:20:25.000Z","https://www.youtube.com/watch?v=H8vEG_Uq-dE","00:08:08","理科","中学1年","11"
"植物と水","2013-04-03T00:04:57.000Z","https://www.youtube.com/watch?v=Hu2mO8_LybA","00:07:42","理科","中学1年","12"
"根と茎のつくり","2013-04-03T00:04:57.000Z","https://www.youtube.com/watch?v=e_xfz_9I1V8","00:13:12","理科","中学1年","13"
"種子をつくらない植物","2013-04-04T07:28:51.000Z","https://www.youtube.com/watch?v=kK5m8QH9KtI","00:11:10","理科","中学1年","14"
"植物の分類","2013-04-04T07:28:51.000Z","https://www.youtube.com/watch?v=6MUW1SGY7Uo","00:14:08","理科","中学1年","15"
"コンブやワカメ","2013-04-04T07:28:51.000Z","https://www.youtube.com/watch?v=ElHELasYT7Q","00:04:53","理科","中学1年","16"
"平行四辺形の性質","2013-03-13T04:16:55Z","https://www.youtube.com/watch?v=4DGuhQPOYMo","00:15:21","数学","中学2年","73"
"平行四辺形になる条件","2013-03-13T04:16:55Z","https://www.youtube.com/watch?v=oP8zRIxXX1Y","00:17:39","数学","中学2年","74"
"証明チャレンジ Lv.9","2013-03-13T04:16:55Z","https://www.youtube.com/watch?v=5MgLrdRDTw8","00:08:12","数学","中学2年","75"
"長方形 ひし形 正方形","2013-03-13T04:16:55Z","https://www.youtube.com/watch?v=c28_WkUdL1Q","00:14:35","数学","中学2年","76"
"平行線と面積","2013-03-13T04:16:55Z","https://www.youtube.com/watch?v=7WimT5pLd8I","00:17:28","数学","中学2年","77"
"三角形の合同(1) 基本編","2013-11-03T01:48:14.000Z","https://www.youtube.com/watch?v=603piZcff9w","00:12:14","数学","中学2年","56"
"三角形の合同(2) 応用編","2013-11-03T05:58:04.000Z","https://www.youtube.com/watch?v=R-Wk6JM3ZNk","00:14:29","数学","中学2年","57"
"三角形の合同(3) 合同探し編","2013-11-03T05:58:04.000Z","https://www.youtube.com/watch?v=M5Bisk6fQ-o","00:11:17","数学","中学2年","58"
"仮定と結論","2013-11-04T05:54:09.000Z","https://www.youtube.com/watch?v=sLMJ_dXeHEc","00:07:05","数学","中学2年","59"
"証明のしくみ","2013-11-05T03:43:08.000Z","https://www.youtube.com/watch?v=erqO5i3tBX8","00:14:29","数学","中学2年","60"
"証明チャレンジ Lv.1","2013-03-13T04:20:17.000Z","https://www.youtube.com/watch?v=zaEG8CyZeOo","00:10:56","数学","中学2年","61"
"証明チャレンジ Lv.2","2013-03-13T04:20:17.000Z","https://www.youtube.com/watch?v=dttCenFaCxM","00:10:00","数学","中学2年","62"
"証明チャレンジ Lv.3","2013-03-13T04:20:17.000Z","https://www.youtube.com/watch?v=egUZC1yiFXU","00:08:34","数学","中学2年","63"
"二等辺三角形","2013-03-13T04:19:11.000Z","https://www.youtube.com/watch?v=Xcw4UwF3yA0","00:16:15","数学","中学2年","64"
"証明チャレンジ Lv.4","2013-03-13T04:19:11.000Z","https://www.youtube.com/watch?v=GLYVft0PgM8","00:07:32","数学","中学2年","65"
"証明チャレンジ Lv.5","2013-03-13T04:19:11.000Z","https://www.youtube.com/watch?v=5iuCtx6Rev4","00:09:34","数学","中学2年","66"
"証明チャレンジ Lv.6","2013-03-13T04:18:32.000Z","https://www.youtube.com/watch?v=vlw4sKNSwiA","00:08:23","数学","中学2年","67"
"証明チャレンジ Lv.7","2013-03-13T04:18:32.000Z","https://www.youtube.com/watch?v=-Ru4-iuqtTg","00:09:38","数学","中学2年","68"
"逆","2013-03-13T04:17:32.000Z","https://www.youtube.com/watch?v=1kfKGxIxeMc","00:13:13","数学","中学2年","69"
"正三角形","2013-03-13T04:17:32.000Z","https://www.youtube.com/watch?v=83OmBomwVn8","00:14:08","数学","中学2年","70"
"直角三角形の合同条件","2013-03-13T04:17:32.000Z","https://www.youtube.com/watch?v=xroN6PwjiwI","00:08:25","数学","中学2年","71"
"証明チャレンジ Lv.8","2013-03-13T04:17:32.000Z","https://www.youtube.com/watch?v=hH90yzWAnNU","00:08:16","数学","中学2年","72"
"度数分布","2013-03-13T04:14:38.000Z","https://www.youtube.com/watch?v=Ucl70d0N0h0","00:10:57","数学","中学1年","86"
"代表値と散らばり","2013-03-13T04:14:38.000Z","https://www.youtube.com/watch?v=5Et79Eo964I","00:10:34","数学","中学1年","87"
"近似値","2013-03-13T04:14:38.000Z","https://www.youtube.com/watch?v=v_ue0htpH-8","00:14:09","数学","中学1年","88"
"炭酸水素ナトリウムを熱する実験 (撮り直ししました)","2019-02-19T08:23:11.000Z","https://www.youtube.com/watch?v=DfbIj77JhS4","00:16:21","理科","中学2年","1"
"酸化銀を熱する","2013-03-08T14:59:47.000Z","https://www.youtube.com/watch?v=XlmVVITpYRg","00:05:30","理科","中学2年","2"
"水に電流を流す","2013-03-08T14:59:47.000Z","https://www.youtube.com/watch?v=ZfkWd-6cE8Y","00:10:14","理科","中学2年","3"
"原子と分子","2013-03-08T14:59:47.000Z","https://www.youtube.com/watch?v=WeAUHiFBi_0","00:10:46","理科","中学2年","4"
"物質を記号で表す","2013-03-08T14:59:47.000Z","https://www.youtube.com/watch?v=f0jBvj4yBEE","00:13:13","理科","中学2年","5"
"鉄と硫黄を混ぜて熱する","2013-03-08T14:59:47.000Z","https://www.youtube.com/watch?v=OJHQe1tRTJA","00:11:03","理科","中学2年","6"
"化学反応式の作り方","2013-03-08T14:59:47.000Z","https://www.youtube.com/watch?v=Hkf5N-nsqvc","00:14:33","理科","中学2年","7"
"スチ-ルウ-ルを燃やす","2013-03-08T15:00:50.000Z","https://www.youtube.com/watch?v=zCKhNWAZKuk","00:10:46","理科","中学2年","8"
"色々燃やしてみた","2013-03-08T15:00:50.000Z","https://www.youtube.com/watch?v=9hcdI0CVCIk","00:09:23","理科","中学2年","9"
"酸化物から酸素をとり出す","2013-03-08T15:00:50.000Z","https://www.youtube.com/watch?v=nbKRd57qCCA","00:12:31","理科","中学2年","10"
"化学変化と質量の変化","2013-03-08T15:00:50.000Z","https://www.youtube.com/watch?v=1KJdKqXvbLw","00:08:05","理科","中学2年","11"
"化合する物質の割合・基本編","2013-03-08T15:00:50.000Z","https://www.youtube.com/watch?v=4G-4Unp6QG0","00:12:59","理科","中学2年","12"
"化合する物質の割合・計算編","2013-03-08T15:00:50.000Z","https://www.youtube.com/watch?v=7NtkK9PyRSE","00:15:02","理科","中学2年","13"
"化学変化と熱","2013-03-08T15:00:50.000Z","https://www.youtube.com/watch?v=3hW-8Cm6ZNM","00:08:08","理科","中学2年","14"
"式の展開と因数分解","2019-09-02T11:21:46.000Z","https://www.youtube.com/watch?v=AuLiUt3doug","00:00:20","数学","中学3年",
"式の乗法・除法","2013-03-08T23:37:29.000Z","https://www.youtube.com/watch?v=30sa1CQ91pw","00:15:39","数学","中学3年","1"
"展開(1)","2013-03-08T23:37:29.000Z","https://www.youtube.com/watch?v=y-U4y-847f8","00:14:17","数学","中学3年","2"
"展開(2) 4つの公式","2013-03-08T23:37:29.000Z","https://www.youtube.com/watch?v=rSa2lA0W9AU","00:15:03","数学","中学3年","3"
"展開(3)","2013-03-08T23:37:29.000Z","https://www.youtube.com/watch?v=t9WiRkbeGxk","00:09:34","数学","中学3年","4"
"素数と素因数分解","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=vvPzcNRqPoc","00:16:53","数学","中学3年","5"
"因数分解(1)","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=gfMwX2DbKuo","00:12:15","数学","中学3年","6"
"因数分解(2)","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=tYdNpkLGOJU","00:16:31","数学","中学3年","7"
"因数分解(3) ちょい応用編","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=uLvIcxZv6y8","00:15:48","数学","中学3年","8"
"因数分解(4) もっと応用編","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=QY3yp_x-ujQ","00:13:21","数学","中学3年","9"
"因数分解(5) 文章編","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=r4JDci_PHOc","00:10:45","数学","中学3年","10"
"式の計算の利用(1) くふう編","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=T_jvRoIrGuA","00:09:34","数学","中学3年","11"
"式の計算の利用(2) 代入編","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=go7pWEdnceo","00:14:27","数学","中学3年","12"
"式の計算の利用(3) 数字の証明編","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=JZqUHHJws1Y","00:08:39","数学","中学3年","13"
"式の計算の利用(4) 図の証明編","2013-03-08T23:36:55.000Z","https://www.youtube.com/watch?v=7yAXRkn0CB0","00:15:21","数学","中学3年","14"
"正の数・負の数(1)(自然数・整数)","2013-03-11T05:38:26.000Z","https://www.youtube.com/watch?v=n5ozHyyPYeE","00:12:04","数学","中学1年","1"
"正の数・負の数(2)","2013-03-11T05:38:26.000Z","https://www.youtube.com/watch?v=YxKqGOOd_34","00:13:14","数学","中学1年","2"
"正の数・負の数(3)","2013-03-11T05:38:26.000Z","https://www.youtube.com/watch?v=rEjaHoNzqkg","00:18:03","数学","中学1年","3"
"正負のたし算・ひき算","2013-03-11T05:38:26.000Z","https://www.youtube.com/watch?v=B20jJvNPEUY","00:13:25","数学","中学1年","4"
"( )の無いたし算・ひき算","2013-03-11T05:38:26.000Z","https://www.youtube.com/watch?v=YnfKhKXev9s","00:09:20","数学","中学1年","5"
"正負のかけ算・わり算(1)","2013-03-11T05:37:14.000Z","https://www.youtube.com/watch?v=zHM3CjOzPJA","00:12:11","数学","中学1年","6"
"正負のかけ算・わり算(2)","2013-03-11T05:37:14.000Z","https://www.youtube.com/watch?v=zm66O7khECA","00:13:46","数学","中学1年","7"
"指数","2013-03-11T05:37:14.000Z","https://www.youtube.com/watch?v=dSTn1Qy6Pms","00:11:03","数学","中学1年","8"
"計算のまとめ","2013-03-11T05:37:14.000Z","https://www.youtube.com/watch?v=6ewwrOBRi90","00:14:53","数学","中学1年","9"
"正負の問題を詰め込んでみた","2013-03-11T05:37:14.000Z","https://www.youtube.com/watch?v=t1ApySmI1Xk","00:12:17","数学","中学1年","10"
"確率の意味","2013-03-12T23:17:29.000Z","https://www.youtube.com/watch?v=A3MkzHwnixw","00:08:43","数学","中学2年","78"
"確率チャレンジ Lv.1(基本編)","2013-03-12T23:17:29.000Z","https://www.youtube.com/watch?v=JwS3ASE2LQY","00:14:40","数学","中学2年","79"
"確率チャレンジ Lv.2(2つのさいころ編)","2013-03-12T23:17:11.000Z","https://www.youtube.com/watch?v=jthgguIHCno","00:14:19","数学","中学2年","80"
"確率チャレンジ Lv.3(コイン編)","2013-03-12T23:17:11.000Z","https://www.youtube.com/watch?v=_f2QplF8p4E","00:12:10","数学","中学2年","81"
