"タイトル","公開日","URL","長さ","科目","対象","プレイリストタイトル","No"
"ものの燃え方と空気②part２","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=9GHR-eE74A8","00:05:54","理科","小学6年","「いっしょに学ぼう」小学校４～６年",
"ものの燃え方と空気②part１","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=yQjuZ3JWKBI","00:06:17","理科","小学6年","「いっしょに学ぼう」小学校４～６年",
"オリエンテーション","2020-04-22T23:15:49.000Z","https://www.youtube.com/watch?v=O-t1PFDRukg","00:03:49","社会","小学6年","「いっしょに学ぼう」小学校４～６年",
"角の大きさ②","2020-04-22T23:15:49.000Z","https://www.youtube.com/watch?v=0gOpm5T-9_M","00:06:32","算数","小学4年","「いっしょに学ぼう」小学校４～６年",
"天気の変化（１）①","2020-04-22T23:15:49.000Z","https://www.youtube.com/watch?v=dP30FuZYzcE","00:02:37","理科","小学5年","「いっしょに学ぼう」小学校４～６年",
"「さくら さくら」①","2020-04-22T23:15:49.000Z","https://www.youtube.com/watch?v=kmwJmCV7nsg","00:03:47","音楽","小学4年","「いっしょに学ぼう」小学校４～６年",
"食生活①","2020-04-22T23:15:49.000Z","https://www.youtube.com/watch?v=2UztqKaSbGg","00:05:11","家庭","小学生","「いっしょに学ぼう」小学校４～６年",
"食生活②","2020-04-22T23:15:49.000Z","https://www.youtube.com/watch?v=GJWabM7jcb0","00:10:02","家庭","小学生","「いっしょに学ぼう」小学校４～６年",
"針と糸で生活を豊かに","2020-04-22T23:15:49.000Z","https://www.youtube.com/watch?v=NUkNt4UyfWY","00:04:20","家庭","小学5年","「いっしょに学ぼう」小学校４～６年",
"家族・家庭生活１IMG 0014","2020-04-22T23:16:28.000Z","https://www.youtube.com/watch?v=RQtGm8RVvcQ","00:05:46","家庭","小学生","「いっしょに学ぼう」小学校４～６年",
"わらべうた④なわとびその２","2020-04-22T23:16:28.000Z","https://www.youtube.com/watch?v=887Q2GeWMOI","00:01:28","音楽","小学生","「いっしょに学ぼう」小学校４～６年",
"わらべうた③なわとびその１","2020-04-22T23:16:28.000Z","https://www.youtube.com/watch?v=V_p5CLRIOv0","00:01:24","音楽","小学生","「いっしょに学ぼう」小学校４～６年",
"わらべうた②おてだま","2020-04-22T23:16:28.000Z","https://www.youtube.com/watch?v=DeA4YBr_0-I","00:01:34","音楽","小学生","「いっしょに学ぼう」小学校４～６年",
"わらべうた①うたとてあそび","2020-04-22T23:16:28.000Z","https://www.youtube.com/watch?v=r1N9grfSzro","00:02:01","音楽","小学生","「いっしょに学ぼう」小学校４～６年",
"How are you？","2020-04-22T23:16:28.000Z","https://www.youtube.com/watch?v=FZqoBxY4tgM","00:04:34","外国語","小学3年","「いっしょに学ぼう」小学校４～６年",
"対称な図形②","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=pm7POfFjEPA","00:05:01","算数","小学6年","「いっしょに学ぼう」小学校４～６年",
"地図帳","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=gwcnFQF5SkE","00:03:33","社会","小学4年","「いっしょに学ぼう」小学校４～６年",
"比例","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=oDFAOmYVb3U","00:06:06","算数","小学5年","「いっしょに学ぼう」小学校４～６年",
"角とその大きさ","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=tQ_Jx-lwj_0","00:11:25","算数","小学4年","「いっしょに学ぼう」小学校４～６年",
"季節の言葉１","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=SaCKumD8f-Y","00:02:53","国語","小学5年","「いっしょに学ぼう」小学校４～６年",
"対称な図形①","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=zvWn4fAD8go","00:06:24","算数","小学6年","「いっしょに学ぼう」小学校４～６年",
"世界の中の国土②","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=zShuyuiijMQ","00:02:51","社会","小学5年","「いっしょに学ぼう」小学校４～６年",
"自己紹介","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=Udd7ymqbRTM","00:05:03","外国語","小学5年","「いっしょに学ぼう」小学校４～６年",
"「あんたがたどこさ」で手足を動かそう","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=8YiY7dt0igE","00:02:02","体育","小学4年","「いっしょに学ぼう」小学校４～６年",
"「からだジャンケン」をしよう！","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=nUezkXgaYAU","00:02:44","体育","小学4年","「いっしょに学ぼう」小学校４～６年",
"手足で体を支えてパワーアップ！","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=dRJop0zqEY8","00:01:42","体育","小学4年","「いっしょに学ぼう」小学校４～６年",
"いろいろなポーズでバランスをとろう！","2020-04-22T23:17:24.000Z","https://www.youtube.com/watch?v=V1gdrsMcoUA","00:02:15","体育","小学4年","「いっしょに学ぼう」小学校４～６年",
"世界の中の国土","2020-04-22T23:18:06.000Z","https://www.youtube.com/watch?v=J4Pr5Ij2vmQ","00:04:44","社会","小学5年","「いっしょに学ぼう」小学校４～６年",
"ものの燃え方と空気①","2020-04-22T23:18:06.000Z","https://www.youtube.com/watch?v=U52Zl4DAJqY","00:05:28","理科","小学6年","「いっしょに学ぼう」小学校４～６年",
"いろんな顔みーつけた！","2020-04-22T23:18:06.000Z","https://www.youtube.com/watch?v=LRQCO24VNR0","00:03:05","図工","小学生","「いっしょに学ぼう」小学校４～６年",
"わたしたちの県②","2020-04-22T23:18:06.000Z","https://www.youtube.com/watch?v=7sK94zBPDTw","00:03:28","社会","小学4年","「いっしょに学ぼう」小学校４～６年",
"ものの燃え方と空気②part１","2020-04-23T11:16:31.000Z","https://www.youtube.com/watch?v=yQjuZ3JWKBI","00:06:17","理科","小学6年","「いっしょに学ぼう」小学校４～６年",
"オリエンテーション","2020-04-23T11:16:31.000Z","https://www.youtube.com/watch?v=O-t1PFDRukg","00:03:49","社会","小学6年","「いっしょに学ぼう」小学校４～６年",
"ものの燃え方と空気②part２","2020-04-23T11:16:31.000Z","https://www.youtube.com/watch?v=9GHR-eE74A8","00:05:54","理科","小学6年","「いっしょに学ぼう」小学校４～６年",
"誕生日にほしいもの①","2020-04-23T12:03:48.000Z","https://www.youtube.com/watch?v=Lt59A_vuNNI","00:07:55","外国語","小学5年","「いっしょに学ぼう」小学校４～６年",
"誕生日にほしいもの②","2020-04-23T12:04:03.000Z","https://www.youtube.com/watch?v=fWezDnVmRgs","00:10:45","外国語","小学5年","「いっしょに学ぼう」小学校４～６年",
"誕生日にほしいもの④","2020-04-23T12:24:17.000Z","https://www.youtube.com/watch?v=bR4cQyxd3x4","00:07:25","外国語","小学5年","「いっしょに学ぼう」小学校４～６年",
"角とその大きさ⑥","2020-04-30T08:26:43Z","https://www.youtube.com/watch?v=0pr4QhVmn60","00:08:46","算数","小学4年","「いっしょに学ぼう」小学校４～６年",
"角とその大きさ⑦","2020-04-30T08:27:01Z","https://www.youtube.com/watch?v=MogHD2JDQzc","00:11:39","算数","小学4年","「いっしょに学ぼう」小学校４～６年",
"角とその大きさ⑧","2020-04-30T08:27:19Z","https://www.youtube.com/watch?v=yirO0yaauMU","00:10:16","算数","小学4年","「いっしょに学ぼう」小学校４～６年",
"ことばで　りずむあそび②","2020-04-30T08:29:05Z","https://www.youtube.com/watch?v=w8iEn5WFiUk","00:07:19","音楽","小学生","「いっしょに学ぼう」小学校４～６年",
"日常を十七音でP60～P63","2020-04-30T08:29:50Z","https://www.youtube.com/watch?v=xYDwrmqgOR8","00:05:53","国語","小学5年","「いっしょに学ぼう」小学校４～６年",
"誕生日はいつ？","2020-04-30T08:31:59Z","https://www.youtube.com/watch?v=99n6Hd8mfHM","00:06:41","外国語","小学5年","「いっしょに学ぼう」小学校４～６年",
"「おぼろ月夜」①","2020-04-30T08:33:35Z","https://www.youtube.com/watch?v=rt-hDeXtY2o","00:03:28","音楽","小学6年","「いっしょに学ぼう」小学校４～６年",
"体積①","2020-04-30T08:34:22Z","https://www.youtube.com/watch?v=IqYrUsfsHAw","00:04:54","算数","小学5年","「いっしょに学ぼう」小学校４～６年",
"誕生日にほしいもの③＋","2020-04-30T08:34:55Z","https://www.youtube.com/watch?v=NIRWRP9srxc","00:08:12","外国語","小学5年","「いっしょに学ぼう」小学校４～６年",
"「さくら さくら」②","2020-04-30T11:05:41Z","https://www.youtube.com/watch?v=pR-NamKHsrM","00:05:51","音楽","小学4年","「いっしょに学ぼう」小学校４～６年",
"時こくと 時間③","2020-04-22T11:05:59.000Z","https://www.youtube.com/watch?v=exZKR6DoGLk","00:09:00","算数","小学2年","「いっしょに学ぼう」小学校１～３年",
"時こくと 時間②","2020-04-22T11:05:59.000Z","https://www.youtube.com/watch?v=YFfciv8pfAU","00:05:58","算数","小学2年","「いっしょに学ぼう」小学校１～３年",
"時こくと 時間①","2020-04-22T11:05:59.000Z","https://www.youtube.com/watch?v=6LXBc9Qewl0","00:06:27","算数","小学2年","「いっしょに学ぼう」小学校１～３年",
"ひょうと グラフ","2020-04-22T11:05:59.000Z","https://www.youtube.com/watch?v=r8-hdn52tyI","00:08:59","算数","小学2年","「いっしょに学ぼう」小学校１～３年",
"わり算④","2020-04-22T11:05:59.000Z","https://www.youtube.com/watch?v=cyp3T5PMX7c","00:04:59","算数","小学3年","「いっしょに学ぼう」小学校１～３年",
"わり算③","2020-04-22T11:05:59.000Z","https://www.youtube.com/watch?v=ZzwCcg7YDGk","00:09:23","算数","小学3年","「いっしょに学ぼう」小学校１～３年",
"牛乳パックの変身〜とびだせ○○〜","2020-04-22T11:05:59.000Z","https://www.youtube.com/watch?v=bAvk_N047eU","00:04:14","図工","小学1年","「いっしょに学ぼう」小学校１～３年",
"「春の小川」①","2020-04-22T11:55:30.000Z","https://www.youtube.com/watch?v=NJjbGnsQQIM","00:03:46","音楽","小学3年","「いっしょに学ぼう」小学校１～３年",
"わり算②","2020-04-22T11:55:30.000Z","https://www.youtube.com/watch?v=guL1_apnJdE","00:07:55","算数","小学3年","「いっしょに学ぼう」小学校１～３年",
"わらべうた④なわとびその２","2020-04-22T11:56:32.000Z","https://www.youtube.com/watch?v=887Q2GeWMOI","00:01:28","音楽","小学生","「いっしょに学ぼう」小学校１～３年",
"わらべうた③なわとびその１","2020-04-22T11:56:32.000Z","https://www.youtube.com/watch?v=V_p5CLRIOv0","00:01:24","音楽","小学生","「いっしょに学ぼう」小学校１～３年",
"わらべうた②おてだま","2020-04-22T11:56:32.000Z","https://www.youtube.com/watch?v=DeA4YBr_0-I","00:01:34","音楽","小学生","「いっしょに学ぼう」小学校１～３年",
"わらべうた①うたとてあそび","2020-04-22T11:56:32.000Z","https://www.youtube.com/watch?v=r1N9grfSzro","00:02:01","音楽","小学生","「いっしょに学ぼう」小学校１～３年",
"５までのかず","2020-04-22T11:56:32.000Z","https://www.youtube.com/watch?v=ycX81B1ly-c","00:04:30","算数","小学1年","「いっしょに学ぼう」小学校１～３年",
"How are you？","2020-04-22T11:56:32.000Z","https://www.youtube.com/watch?v=FZqoBxY4tgM","00:04:34","外国語","小学3年","「いっしょに学ぼう」小学校１～３年",
"てづくりおもちゃであそぼう","2020-04-22T11:56:32.000Z","https://www.youtube.com/watch?v=e0l7KA3KkQw","00:10:10","生活","小学1年","「いっしょに学ぼう」小学校１～３年",
"思い出して書こう","2020-04-22T11:56:32.000Z","https://www.youtube.com/watch?v=Y1raEgj83t4","00:09:11","国語","小学2年","「いっしょに学ぼう」小学校１～３年",
"わたしのまち　みんなのまち２","2020-04-22T11:56:32.000Z","https://www.youtube.com/watch?v=-xjVFLhWvNk","00:06:14","社会","小学3年","「いっしょに学ぼう」小学校１～３年",
"ことばで　りずむあそび","2020-04-22T11:58:56.000Z","https://www.youtube.com/watch?v=c85eRU-Xo9w","00:02:52","音楽","小学1年/小学2年/小学3年","「いっしょに学ぼう」小学校１～３年",
"いくつといくつ","2020-04-22T11:58:56.000Z","https://www.youtube.com/watch?v=aBDHEK3_htE","00:06:13","算数","小学1年","「いっしょに学ぼう」小学校１～３年",
"ひき算","2020-04-22T11:58:56.000Z","https://www.youtube.com/watch?v=J6ZUfwu8quk","00:08:07","算数","小学2年","「いっしょに学ぼう」小学校１～３年",
"いろんな顔みーつけた！","2020-04-22T11:58:56.000Z","https://www.youtube.com/watch?v=LRQCO24VNR0","00:03:05","図工","小学生","「いっしょに学ぼう」小学校１～３年",
"ことばで　りずむあそび②","2020-04-30T08:29:05.000Z","https://www.youtube.com/watch?v=w8iEn5WFiUk","00:07:19","音楽","小学生","「いっしょに学ぼう」小学校１～３年",
"春を見つけよう","2020-04-30T08:29:32.000Z","https://www.youtube.com/watch?v=UOlEE7Rp7sI","00:04:52","生活","小学1年","「いっしょに学ぼう」小学校１～３年",
"国語辞典を使おう","2020-04-30T08:32:21.000Z","https://www.youtube.com/watch?v=w0PWTOaZAQ0","00:06:43","国語","小学3年","「いっしょに学ぼう」小学校１～３年",
"「春の小川」②","2020-04-30T08:33:25.000Z","https://www.youtube.com/watch?v=GM6hgBjANmE","00:08:50","音楽","小学3年","「いっしょに学ぼう」小学校１～３年",
"言葉遊びをしよう","2020-04-30T08:33:47.000Z","https://www.youtube.com/watch?v=ZEUAvaZ8Uu4","00:09:50","国語","小学1年","「いっしょに学ぼう」小学校１～３年",
"わり算⑤","2020-04-30T08:34:11.000Z","https://www.youtube.com/watch?v=y8XB9IvEu9U","00:11:30","算数","小学3年","「いっしょに学ぼう」小学校１～３年",
"わり算⑥","2020-04-30T08:34:11.000Z","https://www.youtube.com/watch?v=-atIyH_69jk","00:12:45","算数","小学3年","「いっしょに学ぼう」小学校１～３年",
"わり算⑦","2020-04-30T08:35:13.000Z","https://www.youtube.com/watch?v=P2FqiplhcC8","00:10:10","算数","小学3年","「いっしょに学ぼう」小学校１～３年",
"わり算⑧","2020-04-30T08:37:11.000Z","https://www.youtube.com/watch?v=E-CP_QgybRQ","00:10:48","算数","小学3年","「いっしょに学ぼう」小学校１～３年",
"個別最適化された学びの実現","2020-01-15T01:53:03.000Z","https://www.youtube.com/watch?v=DNZi_vJYJsc","00:09:00","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","20"
"困っている子どもへの合理的配慮","2020-01-15T01:50:29.000Z","https://www.youtube.com/watch?v=l7OtOhGyFQU","00:08:57","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","18"
"学習状況の科学的なアセスメント","2020-01-15T01:48:09.000Z","https://www.youtube.com/watch?v=dp6w210SzMI","00:08:30","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","16"
"教科等の特質に応じた見方・考え方が働く","2020-01-15T01:45:06.000Z","https://www.youtube.com/watch?v=hlN_jL3RFZ4","00:10:13","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","14"
"深い学びが実現できているか","2020-01-15T01:43:10.000Z","https://www.youtube.com/watch?v=iN3phZKqboQ","00:09:31","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","13"
"深い学びが実現できているか","2020-01-15T01:43:08.000Z","https://www.youtube.com/watch?v=iN3phZKqboQ","00:09:31","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","13"
"対話的な学びが実現できているか","2020-01-15T01:41:59.000Z","https://www.youtube.com/watch?v=-n4p6LxiFU4","00:08:28","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","12"
"対話的な学びが実現できているか","2020-01-15T01:41:56.000Z","https://www.youtube.com/watch?v=-n4p6LxiFU4","00:08:28","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","12"
"主体的な学びが実現できているか","2020-01-15T01:40:50.000Z","https://www.youtube.com/watch?v=junwF0ZTLlc","00:08:12","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","11"
"主体的な学びが実現できているか","2020-01-15T01:40:48.000Z","https://www.youtube.com/watch?v=junwF0ZTLlc","00:08:12","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","11"
"問題解決の過程を構想する","2020-01-15T01:38:37.000Z","https://www.youtube.com/watch?v=xZ_LlNyvty8","00:08:29","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","10"
"問題解決の過程を構想する","2020-01-15T01:38:34.000Z","https://www.youtube.com/watch?v=xZ_LlNyvty8","00:08:29","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","10"
"子どもの実態の研究","2020-01-15T01:35:28.000Z","https://www.youtube.com/watch?v=L8_jbnefprU","00:08:15","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","8"
"活動に取り組みやすい配慮","2020-01-15T01:29:33.000Z","https://www.youtube.com/watch?v=4R9J5MEwV9w","00:07:57","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","7"
"温かく受容的な学級","2020-01-15T01:25:10.000Z","https://www.youtube.com/watch?v=2ZKKglQ0oEo","00:09:10","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","4"
"温かく受容的な学級","2020-01-15T01:25:08.000Z","https://www.youtube.com/watch?v=2ZKKglQ0oEo","00:09:10","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","4"
"めりはりをつける","2020-01-15T01:17:25.000Z","https://www.youtube.com/watch?v=HsHYH1ETrDQ","00:08:37","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","2"
"信州型ユニバーサルデザインの紹介","2019-03-27T03:19:01.000Z","https://www.youtube.com/watch?v=WAggWjImbec","00:10:31","教育学","大人","信州型ユニバーサルデザイン研修シリーズ",
" ねらいを明確にする","2019-03-27T03:18:37.000Z","https://www.youtube.com/watch?v=qJLIn81V2KQ","00:11:11","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","1"
"困っていると言える学級","2019-03-27T03:18:25.000Z","https://www.youtube.com/watch?v=b09otgHeM-s","00:11:01","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","5"
"理解を助ける配慮","2019-03-27T03:18:11.000Z","https://www.youtube.com/watch?v=PMrFQ_uMP6U","00:10:11","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","6"
"素材研究と教材化","2019-03-27T03:17:56.000Z","https://www.youtube.com/watch?v=1FXjhoiuEgA","00:10:26","教育学","大人","信州型ユニバーサルデザイン研修シリーズ","9"
